station,Phasenet_pick_time,EQCCT_pick_time,Phasenet_pick_score,EQCCT_pick_score
GAZ ,09:21:12.910,09:21:12.910,0.50925165,0.797
GAZ ,09:21:12.910,09:21:12.910,0.50925165,0.836
GAZ ,09:21:12.910,09:21:12.930,0.50925165,0.835
GAZ ,09:21:12.910,09:21:12.930,0.50925165,0.832
GAZ ,09:23:57.590,09:23:57.640,0.8639176,0.289
GAZ ,09:23:57.590,09:23:57.690,0.8639176,0.406
GAZ ,09:25:41.900,09:25:41.950,0.4553473,0.617
GAZ ,09:25:41.900,09:25:41.950,0.4553473,0.467
GAZ ,09:25:41.900,09:25:41.980,0.4553473,0.509
GAZ ,09:25:41.900,09:25:42.000,0.4553473,0.88
GAZ ,09:29:51.310,09:29:51.390,0.29870683,0.511
GAZ ,09:29:51.310,09:29:51.430,0.29870683,0.574
GAZ ,09:30:27.030,09:30:27.020,0.74340034,0.605
GAZ ,09:30:27.030,09:30:27.040,0.74340034,0.696
GAZ ,09:30:27.030,09:30:27.060,0.74340034,0.515
GAZ ,09:30:27.030,09:30:27.060,0.74340034,0.706
GAZ ,09:30:27.030,09:30:27.060,0.74340034,0.695
GAZ ,09:31:38.260,09:31:38.350,0.40656283,0.295
GAZ ,09:31:38.260,09:31:38.350,0.40656283,0.5
GAZ ,09:31:38.260,09:31:38.400,0.40656283,0.275
GAZ ,09:34:04.130,09:34:04.000,0.295577,0.66
GAZ ,09:35:36.460,09:35:36.440,0.45148575,0.468
GAZ ,09:35:36.460,09:35:36.450,0.45148575,0.535
GAZ ,09:35:36.460,09:35:36.500,0.45148575,0.277
GAZ ,09:36:22.040,09:36:21.950,0.946771,0.663
GAZ ,09:36:22.040,09:36:21.990,0.946771,0.399
GAZ ,09:36:22.040,09:36:22.000,0.946771,0.959
GAZ ,09:36:22.040,09:36:22.010,0.946771,0.637
GAZ ,09:38:20.410,09:38:20.000,0.47551736,0.787
GAZ ,09:38:20.410,09:38:20.430,0.47551736,0.547
GAZ ,09:38:20.410,09:38:20.430,0.47551736,0.783
GAZ ,09:38:20.410,09:38:20.440,0.47551736,0.471
GAZ ,09:41:07.760,09:41:07.560,0.29313716,0.455
GAZ ,09:42:06.630,09:42:06.640,0.8486326,0.682
GAZ ,09:42:06.630,09:42:06.660,0.8486326,0.663
GAZ ,09:42:06.630,09:42:06.660,0.8486326,0.667
GAZ ,09:42:51.030,09:42:51.670,0.38307622,0.143
GAZ ,09:45:22.300,09:45:22.290,0.49351105,0.413
GAZ ,09:45:22.300,09:45:22.290,0.49351105,0.733
GAZ ,09:45:22.300,09:45:22.290,0.49351105,0.683
GAZ ,09:45:22.300,09:45:22.290,0.49351105,0.697
GAZ ,09:46:41.850,09:46:41.890,0.5685817,0.52
GAZ ,09:46:41.850,09:46:41.890,0.5685817,0.531
GAZ ,09:46:41.850,09:46:41.890,0.5685817,0.706
GAZ ,09:46:41.850,09:46:41.910,0.5685817,0.104
GAZ ,09:46:41.850,09:46:41.910,0.5685817,0.847
GAZ ,09:47:45.230,09:47:45.160,0.9777207,0.555
GAZ ,09:47:45.230,09:47:45.220,0.9777207,0.816
GAZ ,09:47:45.230,09:47:45.220,0.9777207,0.796
GAZ ,09:47:45.230,09:47:45.230,0.9777207,0.786
GAZ ,09:49:09.600,09:49:09.590,0.50199825,0.802
GAZ ,09:49:09.600,09:49:09.600,0.50199825,0.319
GAZ ,09:49:09.600,09:49:09.670,0.50199825,0.338
GAZ ,09:52:49.960,09:52:49.990,0.89192414,0.793
GAZ ,09:52:49.960,09:52:49.990,0.89192414,0.813
GAZ ,09:52:49.960,09:52:49.990,0.89192414,0.889
GAZ ,09:52:49.960,09:52:50.000,0.89192414,0.659
GAZ ,09:52:49.960,09:52:50.000,0.89192414,0.906
GAZ ,09:54:26.200,09:54:26.000,0.47611365,0.835
GAZ ,09:54:26.200,09:54:26.130,0.47611365,0.51
GAZ ,09:54:26.200,09:54:26.170,0.47611365,0.679
GAZ ,09:54:26.200,09:54:26.230,0.47611365,0.712
GAZ ,09:55:22.410,09:55:22.290,0.29195273,0.264
GAZ ,09:55:22.410,09:55:22.380,0.29195273,0.183
GAZ ,09:57:22.130,09:57:22.330,0.31099433,0.343
GAZ ,09:57:22.130,09:57:22.430,0.31099433,0.425
GAZ ,09:57:22.130,09:57:22.490,0.31099433,0.31
GAZ ,09:57:22.130,09:57:22.490,0.31099433,0.455
GAZ ,09:58:36.620,09:58:36.690,0.43130872,0.544
GAZ ,09:58:36.620,09:58:36.750,0.43130872,0.559
GAZ ,09:58:36.620,09:58:36.780,0.43130872,0.261
GAZ ,09:58:36.620,09:58:36.810,0.43130872,0.408
GULA,09:02:18.390,09:02:18.000,0.35963175,0.875
GULA,09:02:18.390,09:02:18.530,0.35963175,0.412
GULA,09:02:18.390,09:02:18.530,0.35963175,0.455
GULA,13:21:51.630,13:21:51.210,0.3133345,0.239
GULA,13:21:51.630,13:21:51.640,0.3133345,0.473
GULA,13:21:51.630,13:21:51.640,0.3133345,0.526
GULA,13:21:51.630,13:21:52.010,0.3133345,0.329
GULA,13:56:52.670,13:56:52.030,0.34613982,0.252
GULA,13:56:52.670,13:56:52.690,0.34613982,0.279
GULA,13:56:52.670,13:56:52.690,0.34613982,0.295
GULA,13:59:23.710,13:59:23.710,0.29957592,0.673
GULA,13:59:23.710,13:59:23.730,0.29957592,0.345
GULA,14:38:08.050,14:38:08.000,0.4128455,0.859
GULA,14:38:08.050,14:38:08.070,0.4128455,0.122
HDMB,16:33:03.820,16:33:03.140,0.34674743,0.104
HDMB,16:33:03.820,16:33:03.530,0.34674743,0.12
HDMB,16:33:03.820,16:33:04.000,0.34674743,0.93
KARO,03:08:56.860,03:08:56.870,0.9831028,0.81
KARO,03:08:56.860,03:08:56.870,0.9831028,0.901
KARO,03:08:56.860,03:08:56.870,0.9831028,0.892
KARO,03:08:56.860,03:08:56.870,0.9831028,0.897
KARO,03:09:43.040,03:09:43.010,0.988523,0.915
KARO,03:09:43.040,03:09:43.040,0.988523,0.872
KARO,03:09:43.040,03:09:43.050,0.988523,0.885
KARO,03:09:43.040,03:09:43.060,0.988523,0.883
KARO,03:09:43.040,03:09:43.060,0.988523,0.883
KARO,03:10:52.980,03:10:53.000,0.90915525,0.667
KARO,03:10:52.980,03:10:53.000,0.90915525,0.962
KARO,03:10:52.980,03:10:53.010,0.90915525,0.903
KARO,03:10:52.980,03:10:53.030,0.90915525,0.886
KARO,03:10:52.980,03:10:53.030,0.90915525,0.883
KARO,03:11:27.710,03:11:27.710,0.3172839,0.647
KARO,03:11:27.710,03:11:27.730,0.3172839,0.375
KARO,03:11:27.710,03:11:27.730,0.3172839,0.765
KARO,03:12:40.030,03:12:40.030,0.97354126,0.897
KARO,03:12:40.030,03:12:40.060,0.97354126,0.903
KARO,03:12:40.030,03:12:40.060,0.97354126,0.913
KARO,03:12:40.030,03:12:40.060,0.97354126,0.91
KARO,03:12:40.030,03:12:40.060,0.97354126,0.909
KARO,03:15:04.800,03:15:04.870,0.45966646,0.214
KARO,03:15:04.800,03:15:04.870,0.45966646,0.128
KARO,03:17:39.890,03:17:39.930,0.9400629,0.784
KARO,03:17:39.890,03:17:39.940,0.9400629,0.858
KARO,03:17:39.890,03:17:39.940,0.9400629,0.848
KARO,03:17:39.890,03:17:39.940,0.9400629,0.84
KARO,03:17:39.890,03:17:39.960,0.9400629,0.829
KARO,03:18:46.940,03:18:46.970,0.98702556,0.146
KARO,03:18:46.940,03:18:46.970,0.98702556,0.866
KARO,03:18:46.940,03:18:46.970,0.98702556,0.849
KARO,03:18:46.940,03:18:46.990,0.98702556,0.859
KARO,03:18:46.940,03:18:47.000,0.98702556,0.861
KARO,03:20:37.040,03:20:37.110,0.54251933,0.608
KARO,03:20:37.040,03:20:37.110,0.54251933,0.432
KARO,03:20:37.040,03:20:37.110,0.54251933,0.786
KARO,03:20:37.040,03:20:37.110,0.54251933,0.813
KARO,03:20:37.040,03:20:37.130,0.54251933,0.542
KARO,03:23:39.560,03:23:39.590,0.9862504,0.896
