station,Phasenet-EQTransformer_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQTransformer_score
SARI,17:54:54.500,17:54:55.015,0.3473906,0.78
SARI,18:02:51.200,18:02:51.155,0.9835659,0.77
SARI,18:04:01.200,18:04:01.095,0.6342969,0.92
SARI,18:05:08.700,18:05:09.030,0.38316673,0.44
SARI,18:07:19.200,18:07:18.875,0.39618212,0.91
SARI,18:40:14.500,18:40:14.425,0.8715688,0.54
SARI,18:45:39.300,18:45:38.915,0.35408986,0.49
SARI,19:10:38.100,19:10:38.175,0.9300677,0.6
SARI,19:12:48.500,19:12:48.020,0.49906224,0.94
SARI,19:15:54.600,19:15:54.710,0.72214544,0.61
SARI,19:48:06.800,19:48:06.775,0.42600214,0.59
SARI,20:14:18.800,20:14:18.885,0.93056285,0.56
SARI,20:22:02.200,20:22:02.280,0.87182903,0.21
SARI,20:35:22.800,20:35:23.530,0.27469426,0.46
SARI,20:44:09.100,20:44:09.015,0.92917585,0.95
SARI,20:55:55.900,20:55:55.935,0.6310473,0.71
SARI,20:58:23.100,20:58:22.730,0.49220538,0.85
