,file_name,begin_time,phase_time,phase_score,phase_type,station_id
182,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:02:26.030000Z,0.173,S,GEML
183,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:02:26.030000Z,0.22,S,GEML
184,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:08:29.110000Z,0.239,S,GEML
185,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:17.490000Z,0.121,S,GEML
186,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:28:02.090000Z,0.1,S,GEML
187,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:23.690000Z,0.23,S,GEML
188,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:38:23.330000Z,0.168,S,GEML
189,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:42:34.890000Z,0.223,S,GEML
190,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:42:34.900000Z,0.473,S,GEML
191,GEML_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:42:34.890000Z,0.461,S,GEML
191,GULA_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:17:56.000000Z,0.175,P,GULA
192,GULA_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:08.000000Z,0.311,P,GULA
193,GULA_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:20.000000Z,0.575,P,GULA
194,GULA_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:31.000000Z,0.106,P,GULA
195,GULA_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:22:13.240000Z,0.104,P,GULA
196,GULA_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:22:13.060000Z,0.436,P,GULA
197,GULA_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:27:33.330000Z,0.198,P,GULA
198,GULA_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:27:33.020000Z,0.443,P,GULA
